Saw;James Wan;2004;horror;watched;10;Mezczyzna chorujacy na raka, chce uczynic ludzi bardziej doceniajacymi zycie, przypominajac im o jego ulotnosci, przygotowujac im smiertelne pułapki, które mogą pokonać, jezeli naprawde chca przezyc
Whiplash;Damien Chazelle;2014;drama;watched;10;Lysy psychopata tworzy najlepszego perkusiste
Gladiator;Ridley Scott;2000;drama;watched;10;Idealny zolnierz zostaje zdradzony przez swoj narod i staje sie gladiatorem
Oshi no Ko;Ciao Nekotomi;2024;anime;watched;10;Baba jest giga sigmą piosenkarką/idolką, morduje ją jej stalker, a jej dzieci to reinkarnacja ludzi - syn: jej doktor, który opiekował się nią w ciąży, córka: jej giga fanka, która zmarła na raka
Abyss;Yoo JeWon;2019;drama;watched;7;Baba zmienia ciało na brzydsze, chłop zmienia ciało na przystojniejsze i mają jakąś sigma kule dzięki, której nie umierają
